payment_id,order_id,amount,payment_method,payment_status
247,247,2308.99,Wallet,Success
248,248,471.8,Net Banking,Failed
249,249,5801.89,Credit Card,Failed
250,250,3893.41,Credit Card,Failed
251,251,2541.7,Net Banking,Success
252,252,2275.98,UPI,Success
253,253,189.59,Net Banking,Failed
254,254,1097.4,Wallet,Failed
255,255,326.89,Credit Card,Failed
256,256,8655.39,Net Banking,Success
257,257,3030.08,Net Banking,Failed
258,258,941.5,Wallet,Success
259,259,1634.12,Credit Card,Failed
260,260,5024.14,Wallet,Failed
261,261,7867.33,Net Banking,Success
262,262,3765.46,Credit Card,Success
263,263,2644.23,Wallet,Failed
264,264,120.82,UPI,Success
265,265,3551.18,UPI,Failed
266,266,4417.1,Wallet,Failed
267,267,2423.99,UPI,Failed
268,268,3145.32,Net Banking,Success
269,269,2926.95,UPI,Failed
270,270,1468.52,UPI,Failed
271,271,1450.79,Wallet,Failed
272,272,2008.26,Wallet,Failed
273,273,1998.75,UPI,Success
274,274,1026.9,Net Banking,Failed
275,275,2309.34,UPI,Success
276,276,629.98,Wallet,Success
277,277,3848.12,Net Banking,Failed
278,278,4932.04,UPI,Failed
279,279,3161.98,Net Banking,Failed
280,280,5029.35,Wallet,Failed
281,281,119.46,Credit Card,Success
282,282,2315.69,Wallet,Failed
283,283,2199.37,Net Banking,Success
284,284,3956.57,Net Banking,Success
285,285,2431.2,UPI,Failed
286,286,3360.24,Credit Card,Success
287,287,6086.04,Credit Card,Success
288,288,4874.99,Wallet,Success
289,289,698.41,Net Banking,Failed
290,290,1629.82,UPI,Success
291,291,2452.31,Net Banking,Success
292,292,1190.9,Credit Card,Failed
293,293,2219.18,Net Banking,Failed
294,294,6503.87,Credit Card,Success
295,295,1805.34,Credit Card,Failed
296,296,1159.83,Net Banking,Failed
297,297,2023.53,Wallet,Success
298,298,2957.78,UPI,Success
299,299,4397.26,Net Banking,Failed
300,300,1905.5,Net Banking,Failed
301,301,2117.75,Net Banking,Success
302,302,3055.15,Credit Card,Success
303,303,3005.3,Wallet,Success
304,304,4600.66,Credit Card,Failed
305,305,2858.66,Credit Card,Failed
306,306,3930.85,Wallet,Success
307,307,2891.18,Credit Card,Failed
308,308,3988.3,Net Banking,Success
309,309,5418.27,Wallet,Success
310,310,6468.18,Credit Card,Success
311,311,3248.04,UPI,Failed
312,312,36.3,UPI,Failed
313,313,3208.03,Credit Card,Success
314,314,2577.75,Net Banking,Failed
315,315,3114.21,Credit Card,Success
316,316,3047.84,Credit Card,Failed
317,317,3406.35,Credit Card,Failed
318,318,3410.29,Net Banking,Failed
319,319,2844.61,Net Banking,Failed
320,320,3169.24,Credit Card,Success
321,321,3451.02,Wallet,Success
322,322,1573.98,Net Banking,Failed
323,323,956.77,UPI,Failed
324,324,3362.46,Wallet,Success
325,325,2310.42,UPI,Success
326,326,2314.22,Credit Card,Failed
327,327,6522.73,Wallet,Failed
328,328,5052.6,Net Banking,Failed
329,329,2589.55,Net Banking,Failed
330,330,3934.69,Wallet,Success
331,331,5706.99,UPI,Failed
332,332,1632.68,Credit Card,Success
333,333,1065.96,UPI,Success
334,334,4463.6,Credit Card,Failed
335,335,2541.26,Wallet,Failed
336,336,3036.43,Net Banking,Failed
337,337,2435.74,Net Banking,Success
338,338,1989.24,Credit Card,Success
339,339,3951.72,Credit Card,Failed
340,340,7168.88,Net Banking,Failed
341,341,646.02,UPI,Success
342,342,5805.3,UPI,Success
343,343,1069.22,Credit Card,Success
344,344,3655.06,Credit Card,Success
345,345,1777.18,UPI,Failed
346,346,2752.96,Credit Card,Failed
347,347,871.24,Credit Card,Failed
348,348,3858.87,Credit Card,Success
349,349,1858.5,Net Banking,Success
350,350,2508.01,Net Banking,Success
351,351,5839.3,Credit Card,Failed
352,352,5511.65,Net Banking,Success
353,353,2756.28,UPI,Failed
354,354,1589.45,Wallet,Failed
355,355,2517.16,Credit Card,Failed
356,356,972.27,UPI,Failed
357,357,3100.82,UPI,Success
358,358,2324.62,Net Banking,Success
359,359,660.66,UPI,Success
360,360,3087.44,Net Banking,Success
361,361,2222.07,Net Banking,Success
362,362,1608.89,Wallet,Failed
363,363,1286.68,Credit Card,Failed
364,364,1817.54,Wallet,Failed
365,365,5838.9,Net Banking,Failed
366,366,5173.83,Wallet,Success
367,367,3978.84,Wallet,Failed
368,368,3701.08,Credit Card,Failed
369,369,5891.21,Credit Card,Failed
370,370,1391.49,Net Banking,Failed
371,371,1206.77,Credit Card,Failed
372,372,3902.91,Net Banking,Failed
373,373,2709.01,UPI,Failed
374,374,2208.79,Net Banking,Success
375,375,3586.77,Net Banking,Failed
376,376,1954.85,Credit Card,Failed
377,377,4154.41,Wallet,Failed
378,378,1040.74,Net Banking,Success
379,379,2990.82,Credit Card,Failed
380,380,5502.67,UPI,Success
381,381,635.31,Net Banking,Failed
382,382,4172.97,Credit Card,Failed
383,383,5583.97,Wallet,Success
384,384,658.18,UPI,Success
385,385,3866.91,UPI,Failed
386,386,1474.12,Net Banking,Failed
387,387,5414.16,Wallet,Failed
388,388,4244.34,Wallet,Success
389,389,1150.74,UPI,Success
390,390,1532.37,Wallet,Failed
391,391,1755.48,UPI,Failed
392,392,427.5,UPI,Failed
393,393,413.13,UPI,Failed
394,394,6112.72,UPI,Success
395,395,4141.92,UPI,Failed
396,396,1659.49,UPI,Failed
397,397,807.63,Net Banking,Failed
398,398,8061.19,UPI,Success
399,399,2141.13,UPI,Success
400,400,3531.5,Credit Card,Failed
401,401,3818.7,UPI,Failed
402,402,434.88,Net Banking,Failed
403,403,934.7,Net Banking,Failed
404,404,1018.86,Credit Card,Failed
405,405,1666.24,Credit Card,Success
406,406,2463.41,Credit Card,Failed
407,407,5091.69,Credit Card,Success
408,408,1750.9,Net Banking,Success
409,409,1704.9,Net Banking,Success
410,410,2729.98,Net Banking,Failed
411,411,4943.08,Wallet,Success
412,412,2303.52,Credit Card,Failed
413,413,960.88,Credit Card,Success
414,414,4439.12,Net Banking,Success
415,415,398.88,Net Banking,Failed
416,416,4713.16,UPI,Failed
417,417,2036.19,Credit Card,Success
418,418,978.51,Net Banking,Failed
419,419,4797.16,Credit Card,Failed
420,420,4330.38,Credit Card,Success
421,421,1380.75,UPI,Failed
422,422,2737.85,Net Banking,Failed
423,423,4621.68,Net Banking,Success
424,424,8443.52,Net Banking,Success
425,425,902.67,UPI,Failed
426,426,3110.74,UPI,Success
427,427,4149.09,Credit Card,Success
428,428,126.15,Wallet,Failed
429,429,4908.41,UPI,Failed
430,430,557.79,Net Banking,Failed
431,431,2827.45,UPI,Success
432,432,4128.71,UPI,Failed
433,433,2171.85,Credit Card,Success
434,434,2065.9,Net Banking,Success
435,435,4112.59,UPI,Failed
436,436,3429.75,Net Banking,Failed
437,437,4002.98,UPI,Success
438,438,4105.24,Wallet,Success
439,439,5886.53,Wallet,Success
440,440,4816.17,Net Banking,Failed
441,441,1343.83,Wallet,Failed
442,442,2960.19,Wallet,Success
443,443,6483.64,Wallet,Failed
444,444,2767.39,Net Banking,Success
445,445,441.2,Wallet,Failed
446,446,775.24,UPI,Failed
447,447,1407.36,Wallet,Failed
448,448,6388.96,Net Banking,Success
449,449,3906.21,Wallet,Failed
450,450,1903.49,Net Banking,Failed
451,451,3188.79,UPI,Failed
452,452,2332.84,UPI,Success
453,453,7991.29,Net Banking,Success
454,454,151.9,Credit Card,Failed
455,455,4194.54,Wallet,Success
456,456,2047.76,UPI,Failed
457,457,1895.7,Wallet,Failed
458,458,639.71,UPI,Failed
459,459,4472.81,Credit Card,Success
460,460,872.55,UPI,Success
461,461,3713.76,Credit Card,Success
462,462,7890.72,Net Banking,Success
463,463,4277.25,Credit Card,Success
464,464,981.97,Credit Card,Success
465,465,3337.72,UPI,Failed
466,466,1305.44,UPI,Success
467,467,3761.55,UPI,Failed
468,468,4306.22,Net Banking,Success
469,469,5502.45,Credit Card,Failed
470,470,196.87,Wallet,Success
471,471,4106.65,UPI,Success
472,472,2269.71,UPI,Success
473,473,535.35,UPI,Success
474,474,204.87,Credit Card,Success
475,475,240.46,Credit Card,Failed
476,476,728.32,UPI,Success
477,477,4163.55,UPI,Success
478,478,5436.28,Net Banking,Failed
479,479,3533.58,Net Banking,Success
480,480,3265.26,Wallet,Failed
481,481,1973.42,Net Banking,Failed
482,482,3930.41,Credit Card,Failed
483,483,2944.86,Net Banking,Success
484,484,2761.96,UPI,Success
485,485,3881.67,Wallet,Failed
486,486,4661.91,Credit Card,Success
487,487,5941.49,UPI,Success
488,488,3949.3,Wallet,Failed
489,489,5177.53,Credit Card,Failed
490,490,2508.62,Wallet,Success
491,491,4525.5,Net Banking,Success
492,492,5435.39,Wallet,Failed
493,493,3813.16,UPI,Failed
494,494,2074.92,Credit Card,Failed
495,495,1574.64,UPI,Success
496,496,7165.93,UPI,Success
497,497,3342.72,UPI,Failed
498,498,5292.55,UPI,Success
499,499,713.71,Net Banking,Success
500,500,7942.84,UPI,Failed
501,501,1793.21,Net Banking,Failed
502,502,3024.13,Credit Card,Success
503,503,5771.76,Credit Card,Failed
504,504,4256.39,UPI,Success
505,505,1230.74,Net Banking,Success
506,506,3733.02,Wallet,Failed
507,507,3807.18,Net Banking,Failed
508,508,1078.46,UPI,Success
509,509,4674.0,Credit Card,Failed
510,510,3785.92,UPI,Failed
511,511,3188.1,Net Banking,Failed
512,512,2433.6,Wallet,Success
513,513,4791.62,Credit Card,Success
514,514,2070.42,Wallet,Failed
515,515,3095.78,UPI,Success
516,516,1517.63,Credit Card,Success
517,517,1981.8,Wallet,Success
518,518,2902.02,Credit Card,Failed
519,519,1070.21,Credit Card,Success
520,520,943.05,Wallet,Failed
521,521,2619.93,Wallet,Failed
522,522,598.67,Net Banking,Failed
523,523,2765.58,Wallet,Success
524,524,2824.86,Wallet,Success
525,525,3960.01,Net Banking,Failed
526,526,513.09,Credit Card,Failed
527,527,4745.62,UPI,Failed
528,528,6624.34,UPI,Success
529,529,236.62,Wallet,Failed
530,530,3697.89,Net Banking,Success
531,531,724.1,Credit Card,Failed
532,532,3747.44,Credit Card,Failed
533,533,2644.23,Credit Card,Failed
534,534,3125.4,Net Banking,Success
535,535,3651.7,Credit Card,Success
536,536,2243.03,Wallet,Success
537,537,693.58,Net Banking,Success
538,538,6565.15,Wallet,Success
539,539,4606.65,Wallet,Success
540,540,1389.66,Net Banking,Failed
541,541,240.46,Wallet,Success
542,542,3627.06,UPI,Success
543,543,4219.48,UPI,Success
544,544,1812.8,Wallet,Success
545,545,7277.56,Wallet,Failed
546,546,4582.3,UPI,Success
547,547,3745.61,Credit Card,Failed
548,548,3249.57,Net Banking,Success
549,549,4577.18,Credit Card,Failed
550,550,2183.68,Credit Card,Failed
551,551,2570.71,Credit Card,Success
552,552,3516.29,Credit Card,Success
553,553,2553.18,UPI,Success
554,554,2005.3,Credit Card,Failed
555,555,1035.75,UPI,Success
556,556,1342.46,UPI,Success
557,557,3142.5,Net Banking,Success
558,558,3514.83,UPI,Failed
559,559,2465.22,UPI,Failed
560,560,484.24,Credit Card,Failed
561,561,3255.11,Net Banking,Success
562,562,1156.67,UPI,Success
563,563,2955.56,Net Banking,Failed
564,564,4906.4,Net Banking,Success
565,565,6881.34,Net Banking,Failed
566,566,1623.0,Wallet,Failed
567,567,5832.87,Credit Card,Failed
568,568,1760.0,UPI,Failed
569,569,368.24,Credit Card,Failed
570,570,3929.09,UPI,Failed
571,571,2339.39,Credit Card,Failed
572,572,4300.6,Credit Card,Failed
573,573,491.56,Net Banking,Success
574,574,1505.28,Net Banking,Failed
575,575,4674.19,Net Banking,Success
576,576,4434.54,UPI,Success
577,577,3683.86,UPI,Success
578,578,3180.82,Net Banking,Failed
579,579,4437.52,Net Banking,Failed
580,580,3837.92,Wallet,Failed
581,581,3164.36,Wallet,Success
582,582,272.26,Wallet,Success
583,583,745.16,Net Banking,Failed
584,584,4285.21,Credit Card,Success
585,585,5830.86,Credit Card,Success
586,586,1047.93,UPI,Success
587,587,3086.39,Credit Card,Success
588,588,1888.68,Credit Card,Success
589,589,2714.72,UPI,Failed
590,590,1430.57,UPI,Success
591,591,4804.62,UPI,Failed
592,592,2816.8,Net Banking,Success
593,593,1467.18,Net Banking,Success
594,594,891.98,Wallet,Success
595,595,453.13,Net Banking,Success
596,596,2505.13,Wallet,Failed
597,597,6606.15,UPI,Success
598,598,1424.82,UPI,Failed
599,599,5104.33,Wallet,Failed
600,600,1158.28,UPI,Success
601,601,4898.8,Net Banking,Success
602,602,4716.1,Credit Card,Failed
603,603,3389.8,Net Banking,Success
604,604,2607.84,Wallet,Success
605,605,1571.97,Net Banking,Success
606,606,3302.72,Wallet,Success
607,607,2378.97,UPI,Failed
608,608,1717.35,Wallet,Success
609,609,5742.83,Net Banking,Success
610,610,3130.73,Net Banking,Failed
611,611,189.59,UPI,Failed
612,612,1688.3,Net Banking,Success
613,613,199.5,UPI,Failed
614,614,1259.3,Wallet,Failed
615,615,916.12,Wallet,Success
616,616,637.82,Credit Card,Failed
617,617,1356.08,UPI,Success
618,618,5326.73,Net Banking,Success
619,619,977.12,Wallet,Success
620,620,1398.98,Net Banking,Success
621,621,2189.78,UPI,Failed
622,622,5828.32,Wallet,Success
623,623,1409.28,Wallet,Failed
624,624,2476.86,UPI,Failed
625,625,2990.82,Net Banking,Failed
626,626,916.12,Net Banking,Failed
627,627,3436.45,Wallet,Success
628,628,7047.23,Net Banking,Failed
629,629,188.25,UPI,Failed
630,630,3768.61,Credit Card,Success
631,631,99.89,Net Banking,Failed
632,632,1062.93,UPI,Failed
633,633,4409.25,UPI,Success
634,634,2762.82,UPI,Success
635,635,1745.82,Net Banking,Success
636,636,4849.31,UPI,Failed
637,637,5334.2,UPI,Success
638,638,2197.27,Credit Card,Failed
639,639,3215.36,Net Banking,Failed
640,640,4834.82,Net Banking,Failed
641,641,4872.76,UPI,Failed
642,642,119.46,Net Banking,Success
643,643,3788.07,Credit Card,Success
644,644,4866.42,Wallet,Failed
645,645,782.49,UPI,Failed
646,646,2585.74,Wallet,Failed
647,647,212.24,Wallet,Success
648,648,3370.83,Credit Card,Success
649,649,1812.33,Wallet,Failed
650,650,4758.83,UPI,Failed
651,651,1748.68,UPI,Success
652,652,1749.14,UPI,Failed
653,653,474.97,Credit Card,Success
654,654,3514.24,Credit Card,Success
655,655,6494.95,Net Banking,Failed
656,656,4701.91,Wallet,Success
657,657,1435.84,Credit Card,Failed
658,658,2086.55,UPI,Failed
659,659,3798.8,Wallet,Failed
660,660,2302.34,Wallet,Success
661,661,5394.12,Net Banking,Failed
662,662,830.06,Net Banking,Success
663,663,4008.08,Net Banking,Success
664,664,3909.59,Credit Card,Success
665,665,1057.78,Wallet,Success
666,666,5854.11,UPI,Success
667,667,1477.87,Net Banking,Failed
668,668,5087.65,Wallet,Failed
669,669,4183.02,Credit Card,Success
670,670,4236.05,UPI,Failed
671,671,447.25,UPI,Success
672,672,2102.94,Credit Card,Failed
673,673,389.12,UPI,Success
674,674,3975.7,Credit Card,Success
675,675,4853.68,Wallet,Failed
676,676,4560.58,Credit Card,Failed
677,677,5160.37,UPI,Failed
678,678,1168.78,Net Banking,Success
679,679,6195.69,Net Banking,Success
680,680,1830.6,Net Banking,Success
681,681,1743.99,Net Banking,Failed
682,682,5894.36,Net Banking,Success
683,683,3970.14,UPI,Success
684,684,7391.68,Credit Card,Failed
685,685,516.51,Credit Card,Failed
686,686,3620.06,Net Banking,Success
687,687,370.08,Wallet,Failed
688,688,1209.15,UPI,Success
689,689,1470.78,UPI,Success
690,690,6217.83,UPI,Success
691,691,2625.0,Credit Card,Failed
692,692,4645.64,Credit Card,Success
693,693,1523.24,Net Banking,Failed
694,694,3495.08,Net Banking,Failed
695,695,2113.38,Credit Card,Success
696,696,596.62,Credit Card,Success
697,697,3150.91,Credit Card,Failed
698,698,4032.07,Net Banking,Success
699,699,3466.68,UPI,Success
700,700,3875.84,Net Banking,Success
701,701,7920.9,Credit Card,Success
702,702,4693.29,Net Banking,Failed
703,703,4530.38,Credit Card,Success
704,704,2223.85,Credit Card,Success
705,705,1382.16,Wallet,Failed
706,706,3629.1,UPI,Success
707,707,5808.49,Wallet,Failed
708,708,3945.98,Wallet,Success
709,709,2777.24,Wallet,Failed
710,710,4913.44,Wallet,Success
711,711,531.97,UPI,Failed
712,712,2703.05,UPI,Success
713,713,1867.41,Credit Card,Failed
714,714,2970.36,UPI,Success
715,715,2795.71,UPI,Failed
716,716,3094.02,Credit Card,Failed
717,717,2893.68,Credit Card,Success
718,718,2647.92,UPI,Success
719,719,2907.44,Credit Card,Success
720,720,3093.87,Credit Card,Success
721,721,907.5,Credit Card,Failed
722,722,2719.58,Credit Card,Failed
723,723,4378.47,Wallet,Success
724,724,1981.8,Wallet,Failed
725,725,2183.83,Net Banking,Success
726,726,453.13,UPI,Success
727,727,4125.15,Net Banking,Failed
728,728,1049.46,Credit Card,Success
729,729,3784.67,Net Banking,Failed
730,730,557.43,Net Banking,Failed
731,731,1581.75,UPI,Success
732,732,2833.12,Credit Card,Failed
733,733,1663.62,UPI,Success
734,734,5571.28,Wallet,Failed
735,735,4741.34,UPI,Success
736,736,4502.34,Wallet,Success
737,737,1168.78,Credit Card,Success
738,738,3495.63,Wallet,Failed
739,739,5386.04,UPI,Failed
740,740,1763.92,Net Banking,Failed
741,741,2254.54,Wallet,Failed
742,742,4516.78,UPI,Failed
743,743,2019.0,Net Banking,Failed
744,744,5852.77,Net Banking,Failed
745,745,8738.65,UPI,Failed
746,746,2622.86,Credit Card,Success
747,747,2990.82,Wallet,Success
748,748,1931.06,UPI,Success
749,749,6810.22,Credit Card,Failed
750,750,7346.26,Wallet,Failed
751,751,6168.27,Wallet,Success
752,752,3440.59,UPI,Success
753,753,2232.82,UPI,Success
754,754,10159.08,UPI,Success
755,755,4617.41,UPI,Failed
756,756,4897.44,UPI,Failed
757,757,557.79,Net Banking,Success
758,758,908.67,Net Banking,Failed
759,759,1944.23,Credit Card,Success
760,760,4803.15,Net Banking,Failed
761,761,1972.82,Wallet,Success
762,762,605.78,Net Banking,Failed
763,763,98.36,Wallet,Success
764,764,2636.43,Net Banking,Success
765,765,4077.03,Net Banking,Failed
766,766,4193.5,Wallet,Failed
767,767,4591.16,Wallet,Success
768,768,703.15,Credit Card,Failed
769,769,5356.85,Net Banking,Failed
770,770,3625.65,Wallet,Failed
771,771,2487.02,UPI,Success
772,772,3287.7,Wallet,Failed
773,773,4958.61,Net Banking,Success
774,774,3322.31,Credit Card,Success
775,775,1554.87,UPI,Failed
776,776,2818.22,Wallet,Failed
777,777,6195.2,Wallet,Success
778,778,1312.66,Credit Card,Failed
779,779,1658.61,UPI,Success
780,780,3116.73,Credit Card,Failed
781,781,153.46,UPI,Success
782,782,1434.55,Wallet,Success
783,783,3967.83,Net Banking,Failed
784,784,273.23,Credit Card,Success
785,785,6847.49,UPI,Success
786,786,1090.74,Wallet,Success
787,787,2437.8,Wallet,Failed
788,788,2942.52,Net Banking,Failed
789,789,414.42,Net Banking,Failed
790,790,2612.24,UPI,Success
791,791,1917.93,Net Banking,Success
